label,youtube_id,time_start,time_end,split
yarn spinning,dEpyv84Vf14,0,10,train
yarn spinning,pvT3SrmKW2M,86,96,train
yarn spinning,US4zpRh9myk,10,20,train
yarn spinning,_9Uhppc1-2c,77,87,train
yarn spinning,SfiT8DueVwc,227,237,train
yarn spinning,942wS4Ow-sE,600,610,train
yarn spinning,-x3QjQ6FC9k,71,81,train
yarn spinning,IrLIPjmXBXM,164,174,train
yarn spinning,c3UMoY5BlOc,73,83,train
yarn spinning,xoUMJwO_ScQ,335,345,train
yarn spinning,tJl6qAd5j5c,9,19,train
yarn spinning,1fAXyE03M1U,25,35,train
yarn spinning,Kw808eu34Mk,103,113,train
yarn spinning,8SyeqpgmPSM,4,14,train
yarn spinning,UNqCCqfyo8A,6,16,train
yarn spinning,1IIl_TO-QEU,76,86,train
yarn spinning,_3QULBX1kQE,23,33,train
yarn spinning,SCcfbjBphCA,20,30,train
yarn spinning,juope-FLDtY,35,45,train
yarn spinning,H16Ed4FDjhI,54,64,train
yarn spinning,6kpz21uneAA,67,77,train
yarn spinning,4m1UGwthJKM,23,33,train
yarn spinning,mO6naULj388,9,19,train
yarn spinning,CWbmylPV1TM,0,10,train
yarn spinning,0ltlFO9LMl4,0,10,train
yarn spinning,fJ7vKlSJJkk,0,10,train
yarn spinning,BDmSuT81Xx4,33,43,train
yarn spinning,_0OZgLkdWj8,5,15,train
yarn spinning,66eYE7Lfb5Y,103,113,train
yarn spinning,V7ObIJBAVjI,1,11,train
yarn spinning,bj_jV9ED7yI,348,358,train
yarn spinning,yuGF8fycEEQ,86,96,train
yarn spinning,7hAgm06JkDE,13,23,train
yarn spinning,B0yRyXFjueA,966,976,train
yarn spinning,-W6l3nWqVY8,0,10,train
yarn spinning,n3jc7ygFewE,40,50,train
yarn spinning,sqi0WdBEbgI,55,65,train
yarn spinning,CAu0eFUGdj0,29,39,train
yarn spinning,ZwCRdUDfooA,192,202,train
yarn spinning,b9ktGuZmIN4,31,41,train
yarn spinning,KPMRQTgvTRw,31,41,train
yarn spinning,obmwhPwtyQ8,107,117,train
yarn spinning,PSTPThWs1xs,0,10,train
yarn spinning,P6_0XnDq6H8,3,13,train
yarn spinning,p6wbZM5hKFE,16,26,train
yarn spinning,foMVaaWXeow,260,270,train
yarn spinning,0OKRGffdFCY,79,89,train
yarn spinning,cM4Ycp7BwjA,62,72,train
yarn spinning,JAH2vnrZnPo,212,222,train
yarn spinning,mOwnzeuZe8k,0,10,train
yarn spinning,PuaGhNtQ2gI,215,225,train
yarn spinning,U47oSyEWnU0,125,135,train
yarn spinning,nzIuvMl1ooI,32,42,train
yarn spinning,uHWKNjZhd0M,134,144,train
