label,youtube_id,time_start,time_end,split
directing traffic,Fdb2i3RJ8Oc,14,24,train
directing traffic,_HErsXOKea4,182,192,train
directing traffic,MA5-g9pXYkE,0,10,train
directing traffic,J4_D5Bk10Jo,0,10,train
directing traffic,cBJRpW-jSEI,8,18,train
directing traffic,nxu3FTwEAnk,7,17,train
directing traffic,OYMgKJWmYJE,8,18,train
directing traffic,E9WE6mpXW5I,3,13,train
directing traffic,sdDuLBsis4c,116,126,train
directing traffic,pKHj4SAASzg,0,10,train
directing traffic,URuAE_i0SyA,0,10,train
directing traffic,NQ2EVxfM8jU,0,10,train
directing traffic,NagRMOBS3Z4,24,34,train
directing traffic,1mM_E8q6MkM,13,23,train
directing traffic,wJjKlzNfr5E,0,10,train
directing traffic,5n9R5goKt2g,0,10,train
directing traffic,uriJS04OB7o,25,35,train
directing traffic,vXU1H0nuQPc,131,141,train
directing traffic,mGLu4Gn3jFQ,27,37,train
directing traffic,gDBRZuFCzWo,138,148,train
directing traffic,eLAVzP3JH4U,60,70,train
directing traffic,aCIIBfB_kNw,56,66,train
directing traffic,JlJhT5Ek6cY,18,28,train
directing traffic,QjYKo9yJJDM,48,58,train
directing traffic,4px3jxwZJeY,25,35,train
directing traffic,OyPI4b0Mr3E,21,31,train
directing traffic,02MUiNsfjl4,12,22,train
directing traffic,ZdmMp2Bt3I0,23,33,train
directing traffic,6G8lvcikXB0,0,10,train
directing traffic,8Csg6dsEFkY,1,11,train
directing traffic,KsjOv6u9SEo,34,44,train
directing traffic,bWOPgBOvxo8,1,11,train
directing traffic,Ki3tXJizdc8,20,30,train
directing traffic,1TLhXPtpkK4,284,294,train
directing traffic,RqbuFPDPkjQ,12,22,train
directing traffic,dN7aIS7Wcks,0,10,train
directing traffic,MFsmOvmHn2g,45,55,train
directing traffic,f1fb0Obirx0,8,18,train
directing traffic,losEa27Z4cE,5,15,train
directing traffic,i7XjemBfhi4,0,10,train
directing traffic,eEkpO_Bw7ek,3,13,train
directing traffic,YNDif5pROp4,31,41,train
directing traffic,Ku67YISqwX0,6,16,train
directing traffic,IbBspcmLags,13,23,train
directing traffic,gesBVZ3vB-Q,38,48,train
directing traffic,qghLrjoBbo4,0,10,train
directing traffic,dZpaSZXcPZ4,151,161,train
directing traffic,l1ZHLOflwZg,6,16,train
directing traffic,pUgkoQBYGBo,0,10,train
directing traffic,GriRMK7oOZo,2,12,train
directing traffic,FEYutg-r1XA,10,20,train
directing traffic,LowldfjYIhU,0,10,train
directing traffic,UMbtJSEAWKo,0,10,train
directing traffic,tEXjty47rZ8,22,32,train
directing traffic,KTSG4T6A99Y,2,12,train
directing traffic,xl4B0CfCo2k,0,10,train
directing traffic,udyaZHcW6d0,67,77,train
directing traffic,mO4GmrcjfP0,19,29,train
directing traffic,fDByWHYdCTs,2,12,train
directing traffic,QjtAerj8QJc,0,10,train
directing traffic,3OqvoN1N_T8,54,64,train
directing traffic,InnRRX1ig5w,4,14,train
directing traffic,ZilgHU8Y_28,0,10,train
directing traffic,pyU9MkWCZ9Y,0,10,train
directing traffic,TA7mRBfdI3s,0,10,train
directing traffic,XkOBORqRo98,18,28,train
directing traffic,C5ElFbJlYZI,12,22,train
directing traffic,0TybjsgvznU,0,10,train
directing traffic,aygi_eUAYI8,0,10,train
directing traffic,pLuflxFfN6Y,9,19,train
directing traffic,ci8-a9q4ewc,2,12,train
directing traffic,L3rqUFUt3o8,0,10,train
directing traffic,lvKcTfFRCD0,31,41,train
directing traffic,GpIfem0wZ6k,0,10,train
directing traffic,iwatpTMctv8,6,16,train
directing traffic,aRBkRLy7xBQ,0,10,train
directing traffic,8sWvdufHdCs,2,12,train
directing traffic,x-BRV67OK5U,12,22,train
directing traffic,2s-qPaF5_Vk,36,46,train
directing traffic,fO_wiuPQTFc,0,10,train
directing traffic,uGDaHBfp0Ko,46,56,train
directing traffic,Z2qz7ONdSjc,37,47,train
directing traffic,yfkJxzDL8EA,8,18,train
directing traffic,XE-DguI-97g,0,10,train
directing traffic,Fjp5502n8Fs,124,134,train
directing traffic,J6XcU8KRc94,12,22,train
directing traffic,8wMniA27GU8,38,48,train
directing traffic,nUP4WbpPdt0,57,67,train
directing traffic,1f5IptVKEBU,29,39,train
directing traffic,X0BMXA6LmaE,90,100,train
directing traffic,GGdSWydfC3U,2,12,train
directing traffic,uHp72e0CMos,21,31,train
directing traffic,0wUhDJ5EVqs,65,75,train
directing traffic,Neg5_3bqe9A,180,190,train
directing traffic,8-fihwRM9pY,35,45,train
directing traffic,VK4CrIXA7NQ,0,10,train
directing traffic,nRop1cvF0-g,6,16,train
directing traffic,eQXmUN5KATo,1,11,train
directing traffic,2GJwU_Q6Mp8,17,27,train
directing traffic,Iketm6sUsCc,0,10,train
directing traffic,a8opjvbLi9c,1,11,train
directing traffic,ExoZQZUgeaA,15,25,train
directing traffic,9jb7mOBlM_M,40,50,train
directing traffic,zw2bjTl-gGg,50,60,train
directing traffic,MFooWf13wps,13,23,train
directing traffic,9HL4ujlsYWQ,22,32,train
directing traffic,5p7F6BR0CdM,0,10,train
directing traffic,vbSsrIdjZsw,0,10,train
directing traffic,umGdZYf2gxg,6,16,train
directing traffic,kyKBL_gzyUM,5,15,train
directing traffic,8AHWyaR9dZA,16,26,train
directing traffic,W_kKbPh-5zI,7,17,train
directing traffic,I4gWP_3Pwoo,51,61,train
directing traffic,sdii5rJrGqU,59,69,train
directing traffic,p1evMveA4yo,6,16,train
directing traffic,tdAwbk_S2WY,0,10,train
directing traffic,3jpIkLTXe84,5,15,train
directing traffic,tcEfgaWIy9w,0,10,train
directing traffic,624II3P_m1k,2,12,train
directing traffic,kn5-cBsFFms,24,34,train
directing traffic,0Oq5uwollp0,64,74,train
directing traffic,fBAno9tkU6g,0,10,train
directing traffic,XmSa3z5_HN8,12,22,train
directing traffic,Xn4qmC1Zhjo,11,21,train
directing traffic,G7lA8LOwVd8,1,11,train
directing traffic,P3eRGNVYzU4,25,35,train
directing traffic,ORyYUFrEF3g,39,49,train
directing traffic,eNVIdK2BG8s,24,34,train
directing traffic,a8U2Wt3s_7k,210,220,train
directing traffic,6mbVq39JXY4,18,28,train
directing traffic,5AzrEbpCLEA,25,35,train
directing traffic,x6UM-E4M3hg,33,43,train
directing traffic,gQ0o4Q5fw_I,36,46,train
directing traffic,rXX_2GFmkjE,8,18,train
directing traffic,36hj-RF6sxs,4,14,train
directing traffic,lrsX9OdxOzs,50,60,train
directing traffic,hWKKg4fvDdc,17,27,train
directing traffic,-Nt5M03Dqq0,49,59,train
directing traffic,OVVGAqLAb9A,115,125,train
directing traffic,-tB-JkXssdE,228,238,train
directing traffic,fCvZhMQrp-g,25,35,train
directing traffic,6-_Sj_7IxZs,21,31,train
directing traffic,65iIou8agq4,53,63,train
directing traffic,mOiT2ICO4bM,2,12,train
directing traffic,B9B6sHdZwZc,47,57,train
directing traffic,A3dnjTRNrPA,21,31,train
directing traffic,1MXcUZ5dnlc,0,10,train
directing traffic,MJvsCOYaQnA,12,22,train
directing traffic,OXELQDyVrP8,14,24,train
directing traffic,jc79srmt22U,1,11,train
directing traffic,TkdF1i_eiBc,0,10,train
directing traffic,pK0ikeMXI-k,29,39,train
directing traffic,8TXMFt8yxRw,0,10,train
directing traffic,rqwp3ZLMDAY,14,24,train
directing traffic,IJEoBz3mkeY,58,68,train
directing traffic,jLXPAGUYceQ,29,39,train
directing traffic,iZ5IGhHzEQc,28,38,train
directing traffic,1lDTgXAzPNU,19,29,train
directing traffic,GdG3MCWREhA,23,33,train
