label,youtube_id,time_start,time_end,split
stretching leg,onsngYLcq70,11,21,train
stretching leg,QCFNcG-fK_Y,0,10,train
stretching leg,J-IrOfdDH-8,43,53,train
stretching leg,ywJOGBx1IpI,89,99,train
stretching leg,sD6qGus2tJw,16,26,train
stretching leg,ud9QOryfxHo,2,12,train
stretching leg,0c3PhelPxZA,1,11,train
stretching leg,c7KFl1MbtQE,0,10,train
stretching leg,55r1I69n1E4,33,43,train
stretching leg,CwVS9h3TL4U,77,87,train
stretching leg,wQj-tCeUs_Q,43,53,train
stretching leg,IscKA2xDivo,50,60,train
stretching leg,hAvuuonGTKU,39,49,train
stretching leg,GmEsu7_bNmc,54,64,train
stretching leg,JFWikRau0jY,151,161,train
stretching leg,xBZ5-nylabs,8,18,train
stretching leg,JLL66VdZutc,6,16,train
stretching leg,3RLBy_AKhkQ,209,219,train
stretching leg,ZqHwnamCO9s,3,13,train
stretching leg,omG3stcwCnE,35,45,train
stretching leg,NTnJ-xvsTms,80,90,train
stretching leg,9fd1D7MppoY,57,67,train
stretching leg,_Gwgm3s2EQ0,228,238,train
stretching leg,D8vY_hhQDpg,21,31,train
stretching leg,ZSkHqSzCtCc,6,16,train
stretching leg,fKcAu0nrmgo,73,83,train
stretching leg,wES1k7KYlGs,30,40,train
stretching leg,mAhA28uZ4so,3,13,train
stretching leg,qDffpAFUVYM,64,74,train
stretching leg,S85FaWrGTD0,14,24,train
stretching leg,sFonVBFof8I,0,10,train
stretching leg,C2tMt-sdIY0,5,15,train
stretching leg,P-9zsmt37ds,71,81,train
stretching leg,-lAMMQFfoso,6,16,train
stretching leg,_tRPQTvtNgM,8,18,train
stretching leg,s6mnVVcKszI,73,83,train
stretching leg,aIUr207qOo8,132,142,train
stretching leg,NF9TYS6RoQI,108,118,train
stretching leg,VzgWI-Q2MbA,54,64,train
stretching leg,f-jA-3EL9Nw,38,48,train
stretching leg,g00ZJNYqpOA,7,17,train
stretching leg,konqbxW_uZM,18,28,train
sucking lolly,O49zOLwZSN4,3,13,train
sucking lolly,sggZuqI-ENY,2,12,train
sucking lolly,jEJZd4E-JUQ,125,135,train
sucking lolly,P8rHoiWT3Ak,20,30,train
sucking lolly,ahr0Ql7TgxU,57,67,train
sucking lolly,tn4emcvj-yE,149,159,train
sucking lolly,tLTmfPP1EfM,3,13,train
sucking lolly,vD-_PKSbaoA,31,41,train
sucking lolly,5WI6v6X3RkI,15,25,train
sucking lolly,_Cs2ykO8o4I,54,64,train
sucking lolly,de5ZocMI7js,219,229,train
sucking lolly,GHukob5UBq4,0,10,train
sucking lolly,WLoutkulsKA,0,10,train
sucking lolly,6Bz1SU_xH8c,306,316,train
sucking lolly,cfA5fTS-jbo,0,10,train
sucking lolly,PG8JknWnHzw,309,319,train
sucking lolly,I8XNQfTWDqA,4,14,train
sucking lolly,9O2ZhcsU6gA,0,10,train
sucking lolly,s7XuWfKuDHI,42,52,train
sucking lolly,expyBW0Gbe0,0,10,train
sucking lolly,0s7qcPcu6xQ,1,11,train
sucking lolly,3zYzbNM4BEc,214,224,train
sucking lolly,L46m-WOdvYg,26,36,train
sucking lolly,kLqYuHJ3A4A,34,44,train
sucking lolly,lz7JDWj7IGg,565,575,train
sucking lolly,cASPG1GBFgo,5,15,train
sucking lolly,VHqEaAz4nQ4,25,35,train
sucking lolly,XgrSdX6SySg,22,32,train
sucking lolly,iwpiuI5Ebc4,3,13,train
sucking lolly,d7RH2gRJzHI,650,660,train
sucking lolly,wYzJ8PLqeYk,101,111,train
sucking lolly,OKA4zebpo-o,0,10,train
sucking lolly,Z9BJz9YvsPU,38,48,train
