label,youtube_id,time_start,time_end,split
shaking head,_P-fWbp6fps,0,10,train
shaking head,yKlCh_IZsQ0,43,53,train
shaking head,L5rJuThIrrA,8,18,train
shaking head,feeouP6T3co,3,13,train
shaking head,NUTuSSiKpR8,13,23,train
shaking head,WCYxJY9uChU,0,10,train
shaking head,R8ilWypO4qQ,22,32,train
shaking head,o7XyrhJlum0,60,70,train
shaking head,FMYfIAyk3aA,0,10,train
shaking head,NLlGPnAwtHI,8,18,train
shaking head,VQo609WRswE,30,40,train
shaking head,vERozGiIw3E,0,10,train
shaking head,G4njbsXH7gg,13,23,train
shaking head,5nx7O0sSrrc,31,41,train
shaking head,L_NUiUoPih0,2,12,train
shaking head,5_tnJ9Djgvo,6,16,train
shaking head,HcWFhX9uXB4,7,17,train
shaking head,vQi6mbn5KtA,0,10,train
shaking head,tePtGi4I0ZY,0,10,train
shaking head,k7CwnL0CYrs,15,25,train
shaking head,g_NV3HTR0ts,6,16,train
shaking head,5jtreZqkqiU,1,11,train
shaking head,XJQrjTkjFp0,858,868,train
shaking head,s97wKuI0jnY,0,10,train
shaking head,iXOtQwvDt1U,13,23,train
shaking head,51tzk_GAfjo,1,11,train
shaking head,-6wJNL8d5jA,12,22,train
shaking head,F4MqdA8a6Ew,2,12,train
shaking head,tpCnR_mGmc0,2,12,train
shaking head,sxnSEJjMpY4,11,21,train
shaking head,ljhD_SHxdwY,1,11,train
shaking head,LFiofsMlJ5k,37,47,train
shaking head,p-vXl4VT2L4,6,16,train
shaking head,BnNuQnIUh3k,3,13,train
shaking head,1l5PhfV6AZk,0,10,train
shaking head,PCZ6U4sMAzY,2,12,train
shaking head,sMIzZXAQfZc,10,20,train
shaking head,Pf2OgaztEe8,1,11,train
shaking head,ycrG-KLGxxU,2,12,train
shaking head,j3pCUsjo3Wc,4,14,train
shaking head,G9agsz28go4,9,19,train
shaking head,herLrvFK5-o,9,19,train
shaking head,kw5ToKnGXWM,1,11,train
shaking head,-3xIiWHYntU,0,10,train
shaking head,dAwem9l9bgM,0,10,train
shaking head,dpQD5mrBD9w,96,106,train
shaking head,SIxkZpvns8I,1,11,train
shaking head,NcGSdLW4vvE,12,22,train
shaking head,rfehsyg-gz4,1,11,train
shaking head,caLFviD2UP8,2,12,train
shaking head,bDXX1RrXzaQ,28,38,train
shaking head,YIMTwfAuH1o,143,153,train
shaking head,VdhihXZyQeA,1,11,train
shaking head,Ksuocn-Kz-o,16,26,train
shaking head,U3Yp63Ccw0k,22,32,train
shaking head,qOjeaMV1OQg,11,21,train
shaking head,9wf0RAxy1Fk,25,35,train
shaking head,OQHr_xNyf4g,8,18,train
shaking head,OHd-UbCzowA,3,13,train
shaking head,4yZOUTZ_T1g,2,12,train
shaking head,Eglpl5uftLU,5,15,train
shaking head,RBpZNG5nFiM,0,10,train
shaking head,Db9LYlWL6es,3,13,train
shaking head,39sJUSCCmSw,38,48,train
shaking head,Qp1nuabp6AU,4,14,train
shaking head,TPbGADgyUvo,18,28,train
shaking head,iBc9sASxjHs,22,32,train
shaking head,Sbdy-0USf3M,4,14,train
shaking head,dFS6bJQ8Zqo,0,10,train
shaking head,r-s3h4P6NKs,17,27,train
shaking head,dYZVrNGNyVE,9,19,train
shaking head,kl2Z0ic32mI,6,16,train
shaking head,I16fWvK7ezA,11,21,train
shaking head,uaBmEaGrdFU,44,54,train
shaking head,Zi_Vz-01lf0,0,10,train
shaking head,nsXYn3EDMbc,198,208,train
shaking head,c66wjoX2Z9g,18,28,train
shaking head,7SijLO86sDo,3,13,train
shaking head,8mnhD_3cubo,24,34,train
shaking head,ihVTPDh-wts,4,14,train
shaking head,-PDKioYS1uk,1,11,train
shaking head,tXRWhSxHwWU,23,33,train
shaking head,B7mHjoEcR2s,2,12,train
shaking head,RmJU6OeKMjM,86,96,train
shaking head,jWGeojv8yfI,0,10,train
shaking head,5NZcTitfZcg,33,43,train
shaking head,pBxPHlxuKes,33,43,train
shaking head,gXY3yT6pvVo,0,10,train
shaking head,uBb2mtf7GS0,38,48,train
shaking head,_74GbRrrMmc,62,72,train
shaking head,2-DxJ7Vtte0,83,93,train
shaking head,HqHIwnCqh6k,25,35,train
shaking head,ql3YqZQ-MGc,2,12,train
shaking head,kFrkZiuDyTU,43,53,train
shaking head,d50eeIjRnZU,0,10,train
shaking head,y2tkHXzliE8,73,83,train
shaking head,j9kZEINSo0I,1,11,train
shaking head,TxWBVLALn3I,6,16,train
shaking head,6VuE7-CZ014,4,14,train
shaking head,FbDytzjwSQ0,12,22,train
shaking head,eseWNxQUUMw,4,14,train
shaking head,vtJ2GkPAO-Q,1,11,train
shaking head,8fR9oAh6VZ0,3,13,train
shaking head,p2CA2TVkLoo,26,36,train
shaking head,yMMkhfUpJPQ,12,22,train
shaking head,9vBKcFFJ7lk,2,12,train
shaking head,tWwmZyaBP0M,0,10,train
shaking head,olYsgEljxms,6,16,train
shaking head,ND-ZOtv55a4,0,10,train
shaking head,767nbt3XKJY,14,24,train
shaking head,M8CTEXTZZPk,60,70,train
shaking head,X3wOaVIgaeQ,32,42,train
shaking head,iiQAbUvKGyE,1,11,train
shaking head,VvMXOYxQwrU,19,29,train
shaking head,4HIC9KzUmUE,1,11,train
shaking head,zVto6te92wA,18,28,train
shaking head,Y21vQa2v0uM,0,10,train
shaking head,vM7hLsHlyNc,0,10,train
shaking head,bAmsm0-mUVU,0,10,train
shaking head,fKs-aiHQC_4,0,10,train
shaking head,JkQ-1sHXCYI,27,37,train
shaking head,nDUprc7euvM,3,13,train
shaking head,r3KuYRXsplU,3,13,train
shaking head,9evMGFTemX4,12,22,train
shaking head,KyoMprroI50,0,10,train
shaking head,KKGDDNX99ZQ,7,17,train
shaking head,zcdM-1joQvY,5,15,train
shaking head,1dRWkHUt_Yk,6,16,train
shaking head,fvQB3xXbdWI,8,18,train
shaking head,Fhwm6Tp8pfA,5,15,train
shaking head,YEJUTGy6EPc,8,18,train
shaking head,RnQfOXSbg8k,4,14,train
shaking head,XejD4XvJxRM,6,16,train
shaking head,wHUzdiB204Q,0,10,train
shaking head,94rJWNIUUoA,9,19,train
shaking head,y4ulahgawAQ,0,10,train
shaking head,llH0RlVpCxc,5,15,train
shaking head,MCER8wwDjMM,42,52,train
shaking head,naEQB9EGCjw,12,22,train
shaking head,gHkYy7uyDtc,0,10,train
shaking head,2aH6jpDi7sw,40,50,train
shaking head,JMR2RmTtGdE,0,10,train
shaking head,9jlq4Zo41Fw,14,24,train
shaking head,Tz9IGW6PtB0,30,40,train
shaking head,cGKBdfkIYis,14,24,train
shaking head,NwAY9sR3h_M,11,21,train
shaking head,wqkGnJA_TFQ,3,13,train
shaking head,u0vJb1MQE5o,12,22,train
shaking head,sY_RWCiGwQg,17,27,train
shaking head,x5TK3CxqJ70,3,13,train
shaking head,IDNibAOCWJY,4,14,train
shaking head,DRvOUz7xE9E,0,10,train
shaking head,OcqjHyNUjqA,24,34,train
shaking head,wsf5oGD7ajA,7,17,train
shaking head,rga0h0xES38,4,14,train
shaking head,eTefwZ8ditk,22,32,train
shaking head,n5NY6hi7sZY,37,47,train
shaking head,DD9pqbbTAaY,36,46,train
shaking head,28mhbQ9uGj0,6,16,train
shaking head,GvcfgsmLWYk,28,38,train
shaking head,uH-7BZKSFN4,2,12,train
shaking head,dehaK82eHgU,0,10,train
shaking head,uApShnc2h94,9,19,train
shaking head,JuseGtT5MCw,74,84,train
shaking head,sLzf92xu0uA,0,10,train
shaking head,vuqn3W8NNmk,42,52,train
shaking head,ow4fnz_PhCU,34,44,train
shaking head,6HSQ3zA72Vc,10,20,train
shaking head,AXwZYKneWJ8,36,46,train
shaking head,xt4K1EivQKQ,50,60,train
shaking head,YMbDWIpLl5Q,0,10,train
shaking head,Dir3VqbZn7g,23,33,train
shaking head,vW4CGnyXnMA,76,86,train
shaking head,v6DoClWsZZ0,2,12,train
shaking head,xze4-xI089c,0,10,train
shaking head,l0fTjyO76Xg,14,24,train
shaking head,H1Sp-LlSLNY,12,22,train
shaking head,hbXwICipee8,6,16,train
shaking head,np40ii885KI,119,129,train
shaking head,6J611P97eB0,21,31,train
shaking head,XNsScn5QN18,7,17,train
shaking head,GIKigeDec0g,41,51,train
shaking head,e55NrmEtkI8,14,24,train
shaking head,5Xa1diXrZ14,2,12,train
shaking head,sx0GrEEoUVg,1,11,train
shaking head,95F4iWX2Tsg,0,10,train
shaking head,RoctRtKisec,30,40,train
shaking head,XtCA4k-BZEY,27,37,train
shaking head,Xbo6Kl5N_4U,5,15,train
shaking head,er_9z_20wi8,0,10,train
shaking head,BseIX6uf610,51,61,train
shaking head,IlL11TIMZsg,0,10,train
shaking head,xGM0t7E41d0,0,10,train
shaking head,keTrnwBIAQc,19,29,train
shaking head,fJfweRKHAIY,1,11,train
shaking head,DxXVYRD9jQA,4,14,train
shaking head,a9zt7zPA9uE,16,26,train
shaking head,kpM1hgKN8Do,17,27,train
shaking head,Og42Q0RjG3c,1,11,train
shaking head,i3Z8KT4CCmE,12,22,train
shaking head,Sg7TP30y0VE,12,22,train
shaking head,0ChHFh2u4kY,16,26,train
shaking head,zIxB2OBZowQ,18,28,train
shaking head,W6DvokDvbnQ,15,25,train
shaking head,h9M3klv913U,27,37,train
shaking head,nMNYhaCs-OU,26,36,train
shaking head,-BVDmnhZFH4,3,13,train
shaking head,EihyXpFR0wc,1,11,train
shaking head,5B_ddFCVZMI,6,16,train
shaking head,U0KDRc9qYeU,5,15,train
shaking head,b_VarNLE5WM,9,19,train
shaking head,bnl3rhnzl2k,1,11,train
shaking head,k7jvGVh2u0Y,14,24,train
shaking head,brJ4OlM9A1g,5,15,train
shaking head,HiTzMDPKT6A,4,14,train
shaking head,RzLUm9DW3Lg,4,14,train
shaking head,VEftdD7KKAI,4,14,train
